Store,Product,Total,Promotion,Member,Timestamp
POD-WV,Towel,7.33,BOGO (Buy One Get One),Yes,2024-09-02 11:43:00
POD-POLY,Mask,7.44,BOGO (Buy One Get One),No,2024-09-18 13:20:00
POD-DTPHX,Chips,12.49,Discount on Selected Items,Yes,2024-09-13 16:23:00
POD-POLY,Coffee,15.31,BOGO (Buy One Get One),Yes,2024-09-04 17:48:00
POD-WV,Lotion,17.88,BOGO (Buy One Get One),No,2024-09-16 13:53:00
POD-DTPHX,Lollipops,19.97,Discount on Selected Items,No,2024-09-20 15:43:00
POD-WV,Duct Tape,9.27,Discount on Selected Items,No,2024-09-12 14:39:00
POD-TEMPE,Coffee,6.92,Discount on Selected Items,Yes,2024-09-08 20:25:00
POD-TEMPE,Bottle,11.17,BOGO (Buy One Get One),No,2024-09-21 14:32:00
POD-TEMPE,Tea,5.3,None,No,2024-09-07 09:00:00
POD-TEMPE,Bottle,12.59,None,No,2024-09-09 10:27:00
POD-DTPHX,Candy,14.05,Discount on Selected Items,No,2024-09-09 17:18:00
POD-TEMPE,Cookies,11.83,None,Yes,2024-09-03 20:37:00
POD-WV,Towel,3.22,None,Yes,2024-09-15 08:18:00
POD-WV,Chips,9.21,BOGO (Buy One Get One),Yes,2024-09-21 19:50:00
POD-POLY,Pen,14.84,None,No,2024-09-09 10:29:00
POD-DTPHX,Ruler,10.45,Discount on Selected Items,Yes,2024-09-20 08:11:00
POD-POLY,Lotion,10.54,Discount on Selected Items,Yes,2024-09-07 19:32:00
POD-POLY,Lotion,19.81,Discount on Selected Items,No,2024-09-14 15:38:00
POD-POLY,Lotion,15.41,Discount on Selected Items,Yes,2024-09-02 11:36:00
POD-WV,Duct Tape,14.01,Discount on Selected Items,No,2024-09-12 19:51:00
POD-TEMPE,Candy,9.87,Discount on Selected Items,No,2024-09-17 12:55:00
POD-POLY,Chips,16.8,Discount on Selected Items,Yes,2024-09-05 18:51:00
POD-TEMPE,Slippers,19.13,None,No,2024-09-11 13:27:00
POD-WV,Candy,3.15,Discount on Selected Items,Yes,2024-09-09 15:27:00
POD-TEMPE,Slippers,16.13,None,No,2024-09-10 17:11:00
POD-WV,Notebook,3.47,BOGO (Buy One Get One),Yes,2024-09-21 14:15:00
POD-TEMPE,Candy,16.39,Discount on Selected Items,Yes,2024-09-17 14:55:00
POD-TEMPE,Lollipops,3.41,Discount on Selected Items,No,2024-09-04 08:35:00
POD-TEMPE,Cookies,10.43,Discount on Selected Items,No,2024-09-15 18:48:00
POD-POLY,Ruler,15.19,BOGO (Buy One Get One),Yes,2024-09-09 13:59:00
POD-TEMPE,Mask,7.86,BOGO (Buy One Get One),No,2024-09-05 19:15:00
POD-TEMPE,Pen,3.93,None,No,2024-09-14 11:38:00
POD-POLY,Slippers,6.28,Discount on Selected Items,Yes,2024-09-10 17:47:00
POD-POLY,Towel,17.23,None,No,2024-09-04 09:05:00
POD-POLY,Towel,5.63,None,No,2024-09-13 20:30:00
POD-TEMPE,Towel,12.23,None,Yes,2024-09-16 12:06:00
POD-WV,Lotion,2.84,BOGO (Buy One Get One),Yes,2024-09-17 18:35:00
POD-WV,Coffee,14.52,BOGO (Buy One Get One),No,2024-09-20 08:25:00
POD-TEMPE,Towel,10.2,BOGO (Buy One Get One),No,2024-09-01 17:46:00
POD-DTPHX,Candy,8.67,Discount on Selected Items,Yes,2024-09-13 17:03:00
POD-TEMPE,Sandwich,15.67,None,Yes,2024-09-04 18:14:00
POD-TEMPE,Chips,16.56,None,No,2024-09-18 11:45:00
POD-WV,Mask,9.03,BOGO (Buy One Get One),No,2024-09-02 14:38:00
POD-TEMPE,Towel,10.0,BOGO (Buy One Get One),Yes,2024-09-17 11:10:00
POD-DTPHX,Notebook,18.43,None,Yes,2024-09-11 20:57:00
POD-TEMPE,Towel,13.45,None,Yes,2024-09-02 17:43:00
POD-POLY,Toothpaste,12.78,BOGO (Buy One Get One),Yes,2024-09-04 15:47:00
POD-DTPHX,Candy,11.24,None,Yes,2024-09-17 10:24:00
POD-WV,Notebook,13.88,BOGO (Buy One Get One),Yes,2024-09-15 12:15:00
